"0","1"
"0","2"
"0","5"
"0","4"
"1","2"
"1","5"
"1","3"
"2","4"
"2","3"
"5","3"
"5","4"
"4","3"
"6","4.0"
"6","7"
"6","10"
"6","9"
"4.0","7"
"4.0","10"
"4.0","8"
"7","9"
"7","8"
"10","8"
"10","9"
"9","8"
"11","9.0"
"11","12"
"11","15"
"11","14"
"9.0","12"
"9.0","15"
"9.0","13"
"12","14"
"12","13"
"15","13"
"15","14"
"14","13"
"3.0","16"
"3.0","17"
"3.0","20"
"3.0","19"
"16","17"
"16","20"
"16","18"
"17","19"
"17","18"
"20","18"
"20","19"
"19","18"
"8.0","19.0"
"8.0","21"
"8.0","24"
"8.0","23"
"19.0","21"
"19.0","24"
"19.0","22"
"21","23"
"21","22"
"24","22"
"24","23"
"23","22"
"13.0","23.0"
"13.0","25"
"13.0","28"
"13.0","27"
"23.0","25"
"23.0","28"
"23.0","26"
"25","27"
"25","26"
"28","26"
"28","27"
"27","26"
"18.0","29"
"18.0","30"
"18.0","33"
"18.0","32"
"29","30"
"29","33"
"29","31"
"30","32"
"30","31"
"33","31"
"33","32"
"32","31"
"22.0","32.0"
"22.0","34"
"22.0","37"
"22.0","36"
"32.0","34"
"32.0","37"
"32.0","35"
"34","36"
"34","35"
"37","35"
"37","36"
"36","35"
"26.0","36.0"
"26.0","38"
"26.0","41"
"26.0","40"
"36.0","38"
"36.0","41"
"36.0","39"
"38","40"
"38","39"
"41","39"
"41","40"
"40","39"
