"143","142"
"142","141"
"116.0","142.0"
"116.0","144"
"116.0","147"
"116.0","146"
"142.0","144"
"142.0","147"
"142.0","145"
"144","146"
"144","145"
"147","145"
"147","146"
"146","145"
"120.0","146.0"
"120.0","148"
"120.0","151"
"120.0","150"
"146.0","148"
"146.0","151"
"146.0","149"
"148","150"
"148","149"
"151","149"
"151","150"
"150","149"
"125.0","152"
"125.0","153"
"125.0","156"
"125.0","155"
"152","153"
"152","156"
"152","154"
"153","155"
"153","154"
"156","154"
"156","155"
"155","154"
"129.0","155.0"
"129.0","157"
"129.0","160"
"129.0","159"
"155.0","157"
"155.0","160"
"155.0","158"
"157","159"
"157","158"
"160","158"
"160","159"
"159","158"
"133.0","159.0"
"133.0","161"
"133.0","164"
"133.0","163"
"159.0","161"
"159.0","164"
"159.0","162"
"161","163"
"161","162"
"164","162"
"164","163"
"163","162"
"137.0","163.0"
"137.0","165"
"137.0","168"
"137.0","167"
"163.0","165"
"163.0","168"
"163.0","166"
"165","167"
"165","166"
"168","166"
"168","167"
"167","166"
"141.0","167.0"
"141.0","169"
"141.0","172"
"141.0","171"
"167.0","169"
"167.0","172"
"167.0","170"
"169","171"
"169","170"
"172","170"
"172","171"
"171","170"
"145.0","171.0"
"145.0","173"
"145.0","176"
"145.0","175"
"171.0","173"
"171.0","176"
"171.0","174"
"173","175"
"173","174"
"176","174"
"176","175"
"175","174"
"149.0","175.0"
"149.0","177"
"149.0","180"
"149.0","179"
"175.0","177"
"175.0","180"
"175.0","178"
"177","179"
"177","178"
"180","178"
"180","179"
"179","178"
"154.0","181"
"154.0","182"
"154.0","185"
"154.0","184"
"181","182"
"181","185"
"181","183"
"182","184"
"182","183"
"185","183"
"185","184"
"184","183"
"158.0","184.0"
"158.0","186"
"158.0","189"
"158.0","188"
"184.0","186"
"184.0","189"
"184.0","187"
"186","188"
"186","187"
"189","187"
"189","188"
"188","187"
"162.0","188.0"
"162.0","190"
"162.0","193"
"162.0","192"
"188.0","190"
"188.0","193"
"188.0","191"
"190","192"
"190","191"
"193","191"
"193","192"
"192","191"
"166.0","192.0"
"166.0","194"
"166.0","197"
"166.0","196"
"192.0","194"
"192.0","197"
"192.0","195"
"194","196"
"194","195"
"197","195"
"197","196"
"196","195"
"170.0","196.0"
"170.0","198"
"170.0","201"
"170.0","200"
"196.0","198"
"196.0","201"
"196.0","199"
"198","200"
"198","199"
"201","199"
"201","200"
"200","199"
"174.0","200.0"
"174.0","202"
"174.0","205"
"174.0","204"
"200.0","202"
"200.0","205"
"200.0","203"
"202","204"
"202","203"
"205","203"
"205","204"
"204","203"
"178.0","204.0"
"178.0","206"
"178.0","209"
"178.0","208"
"204.0","206"
"204.0","209"
"204.0","207"
"206","208"
"206","207"
"209","207"
"209","208"
"208","207"
