4.00,2.00,7.00,56.00,1.97479
4.00,2.00,8.00,64.00,2.05496
4.00,2.00,9.00,72.00,2.26961
4.00,3.00,2.00,24.00,1.50910
4.00,3.00,3.00,36.00,1.69145
4.00,3.00,4.00,48.00,1.76728
4.00,3.00,5.00,60.00,1.96617
4.00,3.00,6.00,72.00,2.15038
4.00,3.00,7.00,84.00,2.50030
4.00,3.00,8.00,96.00,2.87727
4.00,3.00,9.00,108.00,3.37633
4.00,4.00,2.00,32.00,1.56677
4.00,4.00,3.00,48.00,1.79474
4.00,4.00,4.00,64.00,1.93587
4.00,4.00,5.00,80.00,2.19992
4.00,4.00,6.00,96.00,2.70069
4.00,4.00,7.00,112.00,3.24061
4.00,4.00,8.00,128.00,4.07839
4.00,4.00,9.00,144.00,4.97348
4.00,5.00,2.00,40.00,1.72419
4.00,5.00,3.00,60.00,1.84534
4.00,5.00,4.00,80.00,2.23427
4.00,5.00,5.00,100.00,2.62648
4.00,5.00,6.00,120.00,3.50498
4.00,5.00,7.00,140.00,4.48653
4.00,5.00,8.00,160.00,5.82177
4.00,5.00,9.00,180.00,7.53081
4.00,6.00,2.00,48.00,1.80897
4.00,6.00,3.00,72.00,2.03232
4.00,6.00,4.00,96.00,2.59058
4.00,6.00,5.00,120.00,3.28302
4.00,6.00,6.00,144.00,4.53113
4.00,6.00,7.00,168.00,6.08891
4.00,6.00,8.00,192.00,8.26411
4.00,6.00,9.00,216.00,11.04350
4.00,7.00,2.00,56.00,1.89915
4.00,7.00,3.00,84.00,2.21363
4.00,7.00,4.00,112.00,2.95157
4.00,7.00,5.00,140.00,4.03997
4.00,7.00,6.00,168.00,5.88259
4.00,7.00,7.00,196.00,8.34848
4.00,7.00,8.00,224.00,11.50019
4.00,7.00,9.00,252.00,15.90889
4.00,8.00,2.00,64.00,1.94632
4.00,8.00,3.00,96.00,2.48177
4.00,8.00,4.00,128.00,3.43241
4.00,8.00,5.00,160.00,5.08898
4.00,8.00,6.00,192.00,7.44583
4.00,8.00,7.00,224.00,11.06334
4.00,8.00,8.00,256.00,16.19193
4.00,8.00,9.00,288.00,22.24482
4.00,9.00,2.00,72.00,2.03192
4.00,9.00,3.00,108.00,3.85694
4.00,9.00,4.00,144.00,8.16739
4.00,9.00,5.00,180.00,6.38927
4.00,9.00,6.00,216.00,9.72461
4.00,9.00,7.00,252.00,14.72930
4.00,9.00,8.00,288.00,21.35849
4.00,9.00,9.00,324.00,29.75123
5.00,2.00,2.00,20.00,1.84411
5.00,2.00,3.00,30.00,1.81225
5.00,2.00,4.00,40.00,1.96235
5.00,2.00,5.00,50.00,2.00184
5.00,2.00,6.00,60.00,2.21924
5.00,2.00,7.00,70.00,2.28766
5.00,2.00,8.00,80.00,2.57659
5.00,2.00,9.00,90.00,2.77488
5.00,3.00,2.00,30.00,1.88596
5.00,3.00,3.00,45.00,1.83876
5.00,3.00,4.00,60.00,2.12691
5.00,3.00,5.00,75.00,2.34064
5.00,3.00,6.00,90.00,2.63951
5.00,3.00,7.00,105.00,3.07420
5.00,3.00,8.00,120.00,3.57310
5.00,3.00,9.00,135.00,4.55015
5.00,4.00,2.00,40.00,5.18422
5.00,4.00,3.00,60.00,4.20465
5.00,4.00,4.00,80.00,2.31032
5.00,4.00,5.00,100.00,2.84389
5.00,4.00,6.00,120.00,3.37861
5.00,4.00,7.00,140.00,4.27431
5.00,4.00,8.00,160.00,5.19969
5.00,4.00,9.00,180.00,6.52701
5.00,5.00,2.00,50.00,2.01911
5.00,5.00,3.00,75.00,2.20654
5.00,5.00,4.00,100.00,2.80965
5.00,5.00,5.00,125.00,3.42078
5.00,5.00,6.00,150.00,4.56761
5.00,5.00,7.00,175.00,5.91178
5.00,5.00,8.00,200.00,7.71179
5.00,5.00,9.00,225.00,9.96755
5.00,6.00,2.00,60.00,2.01431
5.00,6.00,3.00,90.00,2.55231
5.00,6.00,4.00,120.00,3.12962
5.00,6.00,5.00,150.00,4.28117
5.00,6.00,6.00,180.00,5.92992
5.00,6.00,7.00,210.00,8.13822
5.00,6.00,8.00,240.00,11.12146
5.00,6.00,9.00,270.00,14.77283
5.00,7.00,2.00,70.00,2.23656
5.00,7.00,3.00,105.00,2.80211
5.00,7.00,4.00,140.00,3.70111
5.00,7.00,5.00,175.00,5.27339
5.00,7.00,6.00,210.00,7.62718
5.00,7.00,7.00,245.00,10.95937
5.00,7.00,8.00,280.00,15.67011
5.00,7.00,9.00,315.00,21.51518
5.00,8.00,2.00,80.00,2.40313
