|X Start,Y Start,Z Start,X Rot,Y Rot,Z Rot,X Disp,Y Disp,Z Disp|
0.0,0.0381,0.0381,0.0,0.0,0.0,-0.0051597236253515906,-0.00019584134116939624,-0.0050700489744823982
0.0381,0.0,0.0381,0.0,0.0,0.0,-0.0049573699788267173,4.440529883491486e-06,-2.6927866128403754e-05
0.0381,0.0381,0.0,0.0,0.0,0.0,-9.7964013916415491e-05,2.1048213696130377e-05,-8.4341090783417731e-06
0.0762,0.0381,0.0381,0.0,0.0,0.0,-0.005149353092766336,0.00020010031660361478,0.0050432375541758561
0.0381,0.0762,0.0381,0.0,0.0,0.0,-0.005353503320651814,-5.5891555489668494e-18,1.0540965606227095e-05
0.0381,0.0381,0.0762,0.0,0.0,0.0,-0.010219861393390801,-1.5781792103132797e-05,-1.0714486956300283e-05
0.0,0.0381,0.11430000000000001,0.0,0.0,0.0,-0.0051148548949929151,-1.1930544261714077e-05,0.0051035541964546492
0.0381,0.0,0.11430000000000001,0.0,0.0,0.0,-0.0051264255331659138,-1.3096352033105411e-05,1.5860838353574115e-06
0.0762,0.0381,0.11430000000000001,0.0,0.0,0.0,-0.0051491213139740572,-1.1259974796734693e-06,-0.0051145028841555291
0.0381,0.0762,0.11430000000000001,0.0,0.0,0.0,-0.0051371533907338951,-3.0149328053262352e-18,-1.492967946017356e-05
0.0381,0.0381,0.1524,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0381,0.1905,0.0,0.0,0.0,-0.0051148548949909471,-1.1930544262170996e-05,-0.0051035541964526776
0.0381,0.0,0.1905,0.0,0.0,0.0,-0.0051264255331634982,-1.3096352033111054e-05,-1.5860838353586148e-06
0.0762,0.0381,0.1905,0.0,0.0,0.0,-0.0051491213139721005,-1.125997479223746e-06,0.0051145028841535602
0.0381,0.0762,0.1905,0.0,0.0,0.0,-0.0051371533907323894,-1.5642784483902058e-18,1.4929679460175878e-05
0.0381,0.0381,0.22860000000000003,0.0,0.0,0.0,-0.010219861393386863,-1.5781792103135636e-05,1.0714486956299758e-05
0.0,0.0381,0.2667,0.0,0.0,0.0,-0.0051597236253457281,-0.00019584134116943866,0.005070048974484328
0.0381,0.0,0.2667,0.0,0.0,0.0,-0.0049573699788208131,4.4405298834902612e-06,2.6927866128403734e-05
0.0762,0.0381,0.2667,0.0,0.0,0.0,-0.0051493530927604753,0.00020010031660365644,-0.005043237554177793
0.0381,0.0762,0.2667,0.0,0.0,0.0,-0.0053535033206459932,-6.4432219017436208e-18,-1.0540965606228496e-05
0.0381,0.0381,0.3048,0.0,0.0,0.0,-9.7964013908615537e-05,2.1048213696130055e-05,8.4341090783397995e-06
0.0,0.11430000000000001,0.0381,0.0,0.0,0.0,-0.0051597236253518022,0.00019584134116917265,-0.0050700489744826081
0.0381,0.11430000000000001,0.0,0.0,0.0,0.0,-9.7964013916413973e-05,-2.1048213696142798e-05,-8.4341090783423474e-06
0.0762,0.11430000000000001,0.0381,0.0,0.0,0.0,-0.0051493530927665485,-0.00020010031660341293,0.0050432375541760695
