" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Input data file for Frame3dd (N  m/1.000  kg) 2015-11-23 16:36:01.068244               "
" Mon Nov 23 16:42:16 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 547 , 3597  , 4129  
 Last Row , 1 , 544 , 3594 , 4124 , 7176 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3, -1.21602e-03, -1.21602e-03,  6.08553e-04,  7.58756e-03, -7.58756e-03,    0.0,    
     4, -1.21643e-03, -1.21639e-03, -1.21651e-03,  1.41981e-02, -1.49009e-02,  6.97080e-04,
     5, -1.21639e-03, -1.21643e-03, -1.21651e-03,  1.49009e-02, -1.41981e-02, -6.97080e-04,
     6,  3.54146e-07,  3.54146e-07, -1.82438e-03,  7.58757e-03, -7.58757e-03,    0.0,    
     7, -1.04707e-03, -1.04713e-03, -1.04740e-03,  2.03891e-02, -1.89875e-02, -1.40380e-03,
     8, -4.35112e-03, -4.64351e-03,  5.51086e-04,  2.15583e-02, -1.97615e-02, -5.03695e-04,
     9, -4.58181e-03, -4.58179e-03, -4.58196e-03,  2.42088e-02, -2.35650e-02, -6.44825e-04,
    10, -4.41323e-03, -4.41324e-03, -4.41349e-03,  2.46442e-02, -2.31989e-02, -1.44335e-03,
    11, -1.27783e-03, -9.85420e-04, -6.18048e-03,  2.06953e-02, -2.06268e-02, -1.36769e-03,
    12, -4.20514e-03, -4.20516e-03, -4.20549e-03,  2.74079e-02, -2.58635e-02, -1.54513e-03,
    13, -8.56709e-03, -8.92696e-03, -2.09039e-03,  2.80827e-02, -2.63085e-02, -1.13855e-03,
    14, -8.85093e-03, -8.85094e-03, -8.85118e-03,  2.94965e-02, -2.85193e-02, -9.77641e-04,
    15, -8.64336e-03, -8.64338e-03, -8.64366e-03,  3.00043e-02, -2.84539e-02, -1.54971e-03,
    16, -4.48905e-03, -4.12919e-03, -1.09664e-02,  2.76587e-02, -2.67334e-02, -1.56303e-03,
    17, -8.43024e-03, -8.43027e-03, -8.43063e-03,  3.16876e-02, -3.01439e-02, -1.54420e-03,
    18, -1.34588e-02, -1.38276e-02, -5.98380e-03,  3.21345e-02, -3.04361e-02, -1.31415e-03,
    19, -1.37497e-02, -1.37497e-02, -1.37499e-02,  3.29716e-02, -3.18784e-02, -1.09357e-03,
    20, -1.35369e-02, -1.35369e-02, -1.35372e-02,  3.34322e-02, -3.18708e-02, -1.56129e-03,
    21, -8.72114e-03, -8.35243e-03, -1.61968e-02,  3.18781e-02, -3.06929e-02, -1.57076e-03,
    22, -1.33194e-02, -1.33194e-02, -1.33197e-02,  3.45647e-02, -3.29972e-02, -1.56783e-03,
    23, -1.87972e-02, -1.91737e-02, -1.06497e-02,  3.48838e-02, -3.32032e-02, -1.41303e-03,
    24, -1.90942e-02, -1.90942e-02, -1.90944e-02,  3.54085e-02, -3.42269e-02, -1.18188e-03,
    25, -1.88769e-02, -1.88769e-02, -1.88772e-02,  3.58471e-02, -3.42225e-02, -1.62486e-03,
    26, -1.36164e-02, -1.32399e-02, -2.17645e-02,  3.47053e-02, -3.33820e-02, -1.59174e-03,
    27, -1.86420e-02, -1.86420e-02, -1.86424e-02,  3.66797e-02, -3.49954e-02, -1.68453e-03,
    28, -2.44399e-02, -2.48466e-02, -1.58178e-02,  3.69313e-02, -3.51438e-02, -1.59991e-03,
    29, -2.47607e-02, -2.47607e-02, -2.47609e-02,  3.72323e-02, -3.59248e-02, -1.30690e-03,
    30, -2.45260e-02, -2.45259e-02, -2.45263e-02,  3.76500e-02, -3.59903e-02, -1.66285e-03,
    31, -1.89628e-02, -1.85561e-02, -2.75856e-02,  3.68062e-02, -3.52695e-02, -1.72554e-03,
    32, -2.43132e-02, -2.43131e-02, -2.43135e-02,  3.82464e-02, -3.67963e-02, -1.57849e-03,
    33, -3.03765e-02, -3.07449e-02, -2.13493e-02,  3.84354e-02, -3.69648e-02, -1.42663e-03,
    34, -3.06672e-02, -3.06671e-02, -3.06673e-02,  3.84943e-02, -3.72150e-02, -1.27002e-03,
    35, -3.04544e-02, -3.04544e-02, -3.04547e-02,  3.83754e-02, -3.67623e-02, -1.61325e-03,
    36, -2.46037e-02, -2.42353e-02, -3.36317e-02,  3.86625e-02, -3.73003e-02, -9.69897e-04,
    37, -1.84496e-02, -1.78269e-02, -3.66623e-02,  3.88749e-02, -3.76360e-02, -5.27083e-04,
    38, -1.85150e-02, -1.78923e-02, -3.68497e-02,  3.89753e-02, -3.76450e-02, -4.45170e-04,
    39, -2.46931e-02, -2.42113e-02, -4.30981e-02,  3.89823e-02, -3.76599e-02, -3.69862e-04,
    40, -2.46277e-02, -2.41459e-02, -4.29107e-02,  3.89261e-02, -3.76294e-02, -4.05915e-04,
    41, -1.85389e-02, -1.78031e-02, -4.61288e-02,  3.90347e-02, -3.77607e-02, -2.65462e-04,
    42, -1.23425e-02, -1.14065e-02, -4.91904e-02,  3.91036e-02, -3.79572e-02, -9.73697e-05,
    43, -1.23515e-02, -1.14155e-02, -4.93592e-02,  3.91423e-02, -3.79544e-02, -5.86270e-05,
    44, -1.85513e-02, -1.77998e-02, -5.56511e-02,  3.91762e-02, -3.79708e-02,  5.46350e-06,
    45, -1.85423e-02, -1.77908e-02, -5.54824e-02,  3.91306e-02, -3.79513e-02, -4.97440e-05,
